A;142;20010720 10:12;PDANN;
B;142;1514995;64;20010720 10:12;;;26;BURLINGTON ST;MONTEREY;2217;;;20010418;20010418;0;A;3;NULL;;XD;;;7669524;
C;142;1514995;64;20010720 10:12;B//392698;
D;142;1514995;64;20010720 10:12;P;;;;;;
D;142;1514995;64;20010720 10:12;P;;;;;;
D;142;1514995;64;20010720 10:12;V;;;;;;
B;142;1515099;65;20010720 10:12;;25;10;CAIRO ST;ROCKDALE;2216;;;20010405;20010601;270000;;R;;25;;;;7672442;
C;142;1515099;65;20010720 10:12;25//SP 52985;
D;142;1515099;65;20010720 10:12;P;;;;;;
D;142;1515099;65;20010720 10:12;V;;;;;;
D;142;1515099;65;20010720 10:12;V;;;;;;
B;142;1515183;66;20010720 10:12;;3;4;CALEDONIAN ST;BEXLEY;2207;;;20010405;20010517;244000;;R;;3;;;;7680751;
C;142;1515183;66;20010720 10:12;3//5091;
D;142;1515183;66;20010720 10:12;P;;;;;;
D;142;1515183;66;20010720 10:12;P;;;;;;
D;142;1515183;66;20010720 10:12;P;;;;;;
D;142;1515183;66;20010720 10:12;V;;;;;;
B;142;1515294;67;20010720 10:12;;;110;CALEDONIAN ST;BEXLEY;2207;474.2;M;20010406;20010531;330000;A;R;;;XP;;;7671071;
C;142;1515294;67;20010720 10:12;1//901193;
D;142;1515294;67;20010720 10:12;P;;;;;;
D;142;1515294;67;20010720 10:12;P;;;;;;
D;142;1515294;67;20010720 10:12;V;;;;;;
D;142;1515294;67;20010720 10:12;V;;;;;;
B;142;1515355;68;20010720 10:12;;1;47;CALEDONIAN ST;BEXLEY;2207;;;20010518;20010622;312000;;R;;1;;;;7723886;
C;142;1515355;68;20010720 10:12;1//21334;
D;142;1515355;68;20010720 10:12;P;;;;;;
D;142;1515355;68;20010720 10:12;V;;;;;;
D;142;1515355;68;20010720 10:12;V;;;;;;
B;142;1515492;69;20010720 10:12;;;25;CAMERON ST;ROCKDALE;2216;;;20010410;20010619;425000;A;R;;;XG;;;7707134;
C;142;1515492;69;20010720 10:12;6/12/2248;
D;142;1515492;69;20010720 10:12;P;;;;;;
D;142;1515492;69;20010720 10:12;P;;;;;;
D;142;1515492;69;20010720 10:12;V;;;;;;
D;142;1515492;69;20010720 10:12;V;;;;;;
B;142;1515763;70;20010720 10:12;;;57;CANONBURY GR;BEXLEY NORTH;2207;417.3;M;20000410;20000410;0;A;R;;;XM;;;7717669;
C;142;1515763;70;20010720 10:12;1//446103;
D;142;1515763;70;20010720 10:12;P;;;;;;
D;142;1515763;70;20010720 10:12;V;;;;;;
B;142;1515996;71;20010720 10:12;;;11;CARLTON ST;ARNCLIFFE;2205;480.6;M;20010504;20010504;390000;A;R;;;XQ;;;7662334;
C;142;1515996;71;20010720 10:12;6//13853;
D;142;1515996;71;20010720 10:12;P;;;;;;
D;142;1515996;71;20010720 10:12;V;;;;;;
D;142;1515996;71;20010720 10:12;V;;;;;;
B;142;1516287;72;20010720 10:12;;7;1;CECIL ST;MONTEREY;2217;;;20010512;20010622;322000;;R;;7;;;;7718367;
C;142;1516287;72;20010720 10:12;7//SP 44172;
